"ID","Localidad","Lat","Lon","Precip_1h","Precip_24h","Precip_48h","Prob_Max","Pico_Valor","Zona_Llobregat","Timestamp_Captura"
1,"Punto grid",41.2806,1.3658,0,1.2,5.2,95,1.8,"DELTA",2026-02-04 20:53:46.661246
2,"Punto grid",41.3206,1.3658,0,1.9,5.5,98,1.8,"DELTA",2026-02-04 20:53:46.781861
3,"Punto grid",41.3606,1.3658,0,2.6,6.6,98,2,"DELTA",2026-02-04 20:53:46.885626
4,"Punto grid",41.4006,1.3658,0,2.6,6.6,98,2,"BAJO LLOBREGAT",2026-02-04 20:53:46.990521
5,"Punto grid",41.4406,1.3658,0,2.6,8.4,100,2.4,"BAJO LLOBREGAT",2026-02-04 20:53:47.093679
6,"Punto grid",41.4806,1.3658,0,1.8,9,100,2.8,"BAJO LLOBREGAT",2026-02-04 20:53:47.196776
7,"Punto grid",41.5206,1.3658,0,1.8,9,100,2.8,"BAJO LLOBREGAT",2026-02-04 20:53:47.300208
8,"Punto grid",41.5606,1.3658,0,1.3,11.7,100,2.3,"BAJO LLOBREGAT",2026-02-04 20:53:47.403648
9,"Punto grid",41.6006,1.3658,0,0.9,13.5,100,3.3,"BAJO LLOBREGAT",2026-02-04 20:53:47.506904
10,"Punto grid",41.6406,1.3658,0,0.9,13.5,100,3.3,"BAJO LLOBREGAT",2026-02-04 20:53:47.610286
11,"Punto grid",41.6806,1.3658,0,1,16.9,100,6.4,"BAJO LLOBREGAT",2026-02-04 20:53:47.714002
12,"Punto grid",41.7206,1.3658,0,1.3,20.2,100,7.8,"MEDIO LLOBREGAT",2026-02-04 20:53:47.817524
13,"Punto grid",41.7606,1.3658,0,1.3,20.2,100,7.8,"MEDIO LLOBREGAT",2026-02-04 20:53:47.92381
14,"Punto grid",41.8006,1.3658,0,1,22.9,100,8,"MEDIO LLOBREGAT",2026-02-04 20:53:48.026349
15,"Punto grid",41.8406,1.3658,0,1,22.9,100,8,"MEDIO LLOBREGAT",2026-02-04 20:53:48.134128
16,"Punto grid",41.8806,1.3658,0,1.3,28,100,8.4,"MEDIO LLOBREGAT",2026-02-04 20:53:48.23715
17,"Punto grid",41.9206,1.3658,0,1.8,33.2,100,8.8,"MEDIO LLOBREGAT",2026-02-04 20:53:48.339512
18,"Punto grid",41.9606,1.3658,0,1.8,33.2,100,8.8,"MEDIO LLOBREGAT",2026-02-04 20:53:48.441873
19,"Punto grid",42.0006,1.3658,0,2.1,33.4,100,8.8,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 20:53:48.5448
20,"Punto grid",42.0406,1.3658,0,2.1,34.4,100,7.6,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 20:53:48.647891
21,"Punto grid",42.0806,1.3658,0,2.1,34.1,100,7.6,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 20:53:48.749411
22,"Punto grid",42.1206,1.3658,0,0.6,29,100,5,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 20:53:48.851132
23,"Punto grid",42.1606,1.3658,0,1.3,31.9,100,4.1,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 20:53:48.95344
24,"Punto grid",42.2006,1.3658,0,0.2,38.8,100,4.4,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 20:53:49.056053
25,"Punto grid",42.2406,1.3658,0,0,40,100,4.6,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 20:53:49.159267
26,"Punto grid",42.2806,1.3658,0,0,33.4,100,5.2,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 20:53:49.26188
27,"Punto grid",41.2806,1.4058,0,1.2,5.2,95,1.8,"DELTA",2026-02-04 20:53:49.363637
28,"Punto grid",41.3206,1.4058,0,1.9,5.5,98,1.8,"DELTA",2026-02-04 20:53:49.465405
29,"Punto grid",41.3606,1.4058,0,2.6,6.6,98,2,"DELTA",2026-02-04 20:53:49.569888
30,"Punto grid",41.4006,1.4058,0,2.9,8.3,98,2.4,"BAJO LLOBREGAT",2026-02-04 20:53:49.673192
31,"Punto grid",41.4406,1.4058,0,2.6,8.4,100,2.4,"BAJO LLOBREGAT",2026-02-04 20:53:49.77621
32,"Punto grid",41.4806,1.4058,0,1.8,9,100,2.8,"BAJO LLOBREGAT",2026-02-04 20:53:49.878828
33,"Punto grid",41.5206,1.4058,0,1.8,9,100,2.8,"BAJO LLOBREGAT",2026-02-04 20:53:49.980897
