"ID","Localidad","Lat","Lon","Precip_1h","Precip_24h","Precip_48h","Prob_Max","Pico_Valor","Zona_Llobregat","Timestamp_Captura"
1,"Punto grid",41.2806,1.3658,0,0,3.2,84,1.2,"DELTA",2026-02-05 23:35:19.763706
2,"Punto grid",41.3206,1.3658,0,0,3.2,82,1,"DELTA",2026-02-05 23:35:19.920693
3,"Punto grid",41.3606,1.3658,0,0.2,3.6,82,1.4,"DELTA",2026-02-05 23:35:20.059879
4,"Punto grid",41.4006,1.3658,0,0.2,3.6,82,1.4,"BAJO LLOBREGAT",2026-02-05 23:35:20.1995
5,"Punto grid",41.4406,1.3658,0,0.4,3.7,74,1.8,"BAJO LLOBREGAT",2026-02-05 23:35:20.343742
6,"Punto grid",41.4806,1.3658,0,0,3.6,74,2.2,"BAJO LLOBREGAT",2026-02-05 23:35:20.486002
7,"Punto grid",41.5206,1.3658,0,0,3.6,74,2.2,"BAJO LLOBREGAT",2026-02-05 23:35:20.626187
8,"Punto grid",41.5606,1.3658,0,0.2,3.2,74,1.8,"BAJO LLOBREGAT",2026-02-05 23:35:20.765647
9,"Punto grid",41.6006,1.3658,0,0.2,2.5,65,1.6,"BAJO LLOBREGAT",2026-02-05 23:35:20.905044
10,"Punto grid",41.6406,1.3658,0,0.2,2.5,65,1.6,"BAJO LLOBREGAT",2026-02-05 23:35:21.044663
11,"Punto grid",41.6806,1.3658,0,0,2,65,1.4,"BAJO LLOBREGAT",2026-02-05 23:35:21.183643
12,"Punto grid",41.7206,1.3658,0,0.2,1.6,59,1,"MEDIO LLOBREGAT",2026-02-05 23:35:21.323555
13,"Punto grid",41.7606,1.3658,0,0.2,1.6,59,1,"MEDIO LLOBREGAT",2026-02-05 23:35:21.465541
14,"Punto grid",41.8006,1.3658,0,0.2,1.6,59,0.6,"MEDIO LLOBREGAT",2026-02-05 23:35:21.603376
15,"Punto grid",41.8406,1.3658,0,0.2,1.6,55,0.6,"MEDIO LLOBREGAT",2026-02-05 23:35:21.742354
16,"Punto grid",41.8806,1.3658,0,0.4,2,55,1.2,"MEDIO LLOBREGAT",2026-02-05 23:35:21.880562
17,"Punto grid",41.9206,1.3658,0,0.6,4.1,55,2.5,"MEDIO LLOBREGAT",2026-02-05 23:35:22.019585
18,"Punto grid",41.9606,1.3658,0,0.6,4.1,43,2.5,"MEDIO LLOBREGAT",2026-02-05 23:35:22.157915
19,"Punto grid",42.0006,1.3658,0,0.8,4.6,43,3.2,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-05 23:35:22.297974
