"ID","Localidad","Lat","Lon","Precip_1h","Precip_24h","Precip_48h","Prob_Max","Pico_Valor","Zona_Llobregat","Timestamp_Captura"
1,"Punto grid",41.2806,1.3658,0,1.6,7,93,2,"DELTA",2026-02-04 08:06:30.068412
2,"Punto grid",41.3206,1.3658,0,2.2,8.2,100,2,"DELTA",2026-02-04 08:06:30.197629
3,"Punto grid",41.3606,1.3658,0,2.5,10.1,100,2.4,"DELTA",2026-02-04 08:06:30.310723
4,"Punto grid",41.4006,1.3658,0,2.5,10.1,100,2.4,"BAJO LLOBREGAT",2026-02-04 08:06:30.424599
5,"Punto grid",41.4406,1.3658,0,2.6,12.7,100,3,"BAJO LLOBREGAT",2026-02-04 08:06:30.534169
6,"Punto grid",41.4806,1.3658,0,1.8,12.9,100,4.4,"BAJO LLOBREGAT",2026-02-04 08:06:30.649422
7,"Punto grid",41.5206,1.3658,0,1.8,12.9,100,4.4,"BAJO LLOBREGAT",2026-02-04 08:06:30.761999
8,"Punto grid",41.5606,1.3658,0,1.3,16.1,100,4.6,"BAJO LLOBREGAT",2026-02-04 08:06:30.874794
9,"Punto grid",41.6006,1.3658,0,1.1,18.9,98,5,"BAJO LLOBREGAT",2026-02-04 08:06:30.987257
10,"Punto grid",41.6406,1.3658,0,1.1,18.9,98,5,"BAJO LLOBREGAT",2026-02-04 08:06:31.099323
11,"Punto grid",41.6806,1.3658,0,0.4,20,98,5.6,"BAJO LLOBREGAT",2026-02-04 08:06:31.212183
12,"Punto grid",41.7206,1.3658,0,0.8,22,98,5.9,"MEDIO LLOBREGAT",2026-02-04 08:06:31.328947
13,"Punto grid",41.7606,1.3658,0,0.8,22,98,5.9,"MEDIO LLOBREGAT",2026-02-04 08:06:31.443007
14,"Punto grid",41.8006,1.3658,0,1.4,20.7,98,5.7,"MEDIO LLOBREGAT",2026-02-04 08:06:31.553644
