"ID","Localidad","Lat","Lon","Precip_1h","Precip_24h","Precip_48h","Prob_Max","Pico_Valor","Zona_Llobregat","Timestamp_Captura"
1,"Punto grid",41.2806,1.3658,0,1.2,4.3,95,1.1,"DELTA",2026-02-04 17:30:09.563828
2,"Punto grid",41.3206,1.3658,0,1.9,5,98,1.3,"DELTA",2026-02-04 17:30:10.185142
3,"Punto grid",41.3606,1.3658,0,2.6,6.2,98,1.4,"DELTA",2026-02-04 17:30:10.803289
4,"Punto grid",41.4006,1.3658,0,2.6,6.2,98,1.4,"BAJO LLOBREGAT",2026-02-04 17:30:11.247894
5,"Punto grid",41.4406,1.3658,0,2.6,8.1,100,2,"BAJO LLOBREGAT",2026-02-04 17:30:11.88194
6,"Punto grid",41.4806,1.3658,0,1.8,10,100,2,"BAJO LLOBREGAT",2026-02-04 17:30:12.248662
7,"Punto grid",41.5206,1.3658,0,1.8,10,100,2,"BAJO LLOBREGAT",2026-02-04 17:30:12.604512
8,"Punto grid",41.5606,1.3658,0,1.3,11.4,100,2.8,"BAJO LLOBREGAT",2026-02-04 17:30:12.894522
9,"Punto grid",41.6006,1.3658,0,0.9,11.9,100,3.6,"BAJO LLOBREGAT",2026-02-04 17:30:13.138814
10,"Punto grid",41.6406,1.3658,0,0.9,11.9,100,3.6,"BAJO LLOBREGAT",2026-02-04 17:30:13.388894
11,"Punto grid",41.6806,1.3658,0,1,13.8,100,4,"BAJO LLOBREGAT",2026-02-04 17:30:13.597271
12,"Punto grid",41.7206,1.3658,0,1.3,17.9,100,4,"MEDIO LLOBREGAT",2026-02-04 17:30:13.778859
13,"Punto grid",41.7606,1.3658,0,1.3,17.9,100,4,"MEDIO LLOBREGAT",2026-02-04 17:30:13.960029
14,"Punto grid",41.8006,1.3658,0,1,21.7,100,5.8,"MEDIO LLOBREGAT",2026-02-04 17:30:14.113363
15,"Punto grid",41.8406,1.3658,0,1,21.7,100,5.8,"MEDIO LLOBREGAT",2026-02-04 17:30:14.267162
16,"Punto grid",41.8806,1.3658,0,1.3,27.8,100,9.4,"MEDIO LLOBREGAT",2026-02-04 17:30:14.411863
17,"Punto grid",41.9206,1.3658,0,1.8,34.5,100,13.3,"MEDIO LLOBREGAT",2026-02-04 17:30:14.553015
18,"Punto grid",41.9606,1.3658,0,1.8,34.5,100,13.3,"MEDIO LLOBREGAT",2026-02-04 17:30:14.692197
19,"Punto grid",42.0006,1.3658,0,2.1,37.4,100,14,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 17:30:14.829355
20,"Punto grid",42.0406,1.3658,0,2.1,40.2,100,13.4,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 17:30:14.969303
21,"Punto grid",42.0806,1.3658,0,2.1,42.2,100,11.6,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 17:30:15.108289
22,"Punto grid",42.1206,1.3658,0,0.6,36.5,100,5.3,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 17:30:15.248105
23,"Punto grid",42.1606,1.3658,0,1.3,30.7,100,4.7,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 17:30:15.386904
24,"Punto grid",42.2006,1.3658,0,0.2,35.7,100,5.3,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 17:30:15.531614
25,"Punto grid",42.2406,1.3658,0,0,35.2,100,5.1,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 17:30:15.672957
26,"Punto grid",42.2806,1.3658,0,0,28.5,100,4.6,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 17:30:15.813459
27,"Punto grid",41.2806,1.4058,0,1.2,4.3,95,1.1,"DELTA",2026-02-04 17:30:15.953396
28,"Punto grid",41.3206,1.4058,0,1.9,5,98,1.3,"DELTA",2026-02-04 17:30:16.093187
29,"Punto grid",41.3606,1.4058,0,2.6,6.2,98,1.4,"DELTA",2026-02-04 17:30:16.236107
30,"Punto grid",41.4006,1.4058,0,2.9,8,98,2.2,"BAJO LLOBREGAT",2026-02-04 17:30:16.377378
31,"Punto grid",41.4406,1.4058,0,2.6,8.1,100,2,"BAJO LLOBREGAT",2026-02-04 17:30:16.517331
32,"Punto grid",41.4806,1.4058,0,1.8,10,100,2,"BAJO LLOBREGAT",2026-02-04 17:30:16.65673
33,"Punto grid",41.5206,1.4058,0,1.8,10,100,2,"BAJO LLOBREGAT",2026-02-04 17:30:16.797846
34,"Punto grid",41.5606,1.4058,0,1.3,11.4,100,2.8,"BAJO LLOBREGAT",2026-02-04 17:30:16.938046
35,"Punto grid",41.6006,1.4058,0,0.9,11.9,100,3.6,"BAJO LLOBREGAT",2026-02-04 17:30:17.07779
36,"Punto grid",41.6406,1.4058,0,0.9,11.9,100,3.6,"BAJO LLOBREGAT",2026-02-04 17:30:17.217624
37,"Punto grid",41.6806,1.4058,0,1,13.8,100,4,"BAJO LLOBREGAT",2026-02-04 17:30:17.35868
38,"Punto grid",41.7206,1.4058,0,1.3,17.9,100,4,"MEDIO LLOBREGAT",2026-02-04 17:30:17.500982
39,"Punto grid",41.7606,1.4058,0,1.3,17.9,100,4,"MEDIO LLOBREGAT",2026-02-04 17:30:17.640527
40,"Punto grid",41.8006,1.4058,0,1,21.7,100,5.8,"MEDIO LLOBREGAT",2026-02-04 17:30:18.117893
41,"Punto grid",41.8406,1.4058,0,1,21.7,100,5.8,"MEDIO LLOBREGAT",2026-02-04 17:30:18.261875
42,"Punto grid",41.8806,1.4058,0,1.3,27.8,100,9.4,"MEDIO LLOBREGAT",2026-02-04 17:30:18.403192
43,"Punto grid",41.9206,1.4058,0,1.8,34.5,100,13.3,"MEDIO LLOBREGAT",2026-02-04 17:30:18.543443
44,"Punto grid",41.9606,1.4058,0,1.8,34.5,100,13.3,"MEDIO LLOBREGAT",2026-02-04 17:30:18.683008
45,"Punto grid",42.0006,1.4058,0,2.1,37.4,100,14,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 17:30:18.824854
46,"Punto grid",42.0406,1.4058,0,2.1,40.2,100,13.4,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 17:30:18.967485
47,"Punto grid",42.0806,1.4058,0,2.1,40.2,100,13.4,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 17:30:19.107725
48,"Punto grid",42.1206,1.4058,0,0.8,30.9,100,4.8,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 17:30:19.247309
49,"Punto grid",42.1606,1.4058,0,0.7,32.6,100,5.4,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 17:30:19.386979
50,"Punto grid",42.2006,1.4058,0,0.2,32,100,5.4,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 17:30:19.527069
51,"Punto grid",42.2406,1.4058,0,0,28.5,100,4.7,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 17:30:19.666682
52,"Punto grid",42.2806,1.4058,0,0,25.4,100,4.6,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 17:30:19.807122
53,"Punto grid",41.2806,1.4458,0,1.4,4.3,90,1,"DELTA",2026-02-04 17:30:19.947453
54,"Punto grid",41.3206,1.4458,0,1.9,5,100,1.1,"DELTA",2026-02-04 17:30:20.087474
55,"Punto grid",41.3606,1.4458,0,2.6,6.2,100,1.6,"DELTA",2026-02-04 17:30:20.227822
56,"Punto grid",41.4006,1.4458,0,2.6,6.2,100,1.6,"BAJO LLOBREGAT",2026-02-04 17:30:20.367781
57,"Punto grid",41.4406,1.4458,0,2.9,8,100,2.2,"BAJO LLOBREGAT",2026-02-04 17:30:20.845912
58,"Punto grid",41.4806,1.4458,0,2.4,10.4,100,2.1,"BAJO LLOBREGAT",2026-02-04 17:30:20.985922
59,"Punto grid",41.5206,1.4458,0,2.4,10.4,100,2.1,"BAJO LLOBREGAT",2026-02-04 17:30:21.125878
60,"Punto grid",41.5606,1.4458,0,1.6,11.4,100,2.8,"BAJO LLOBREGAT",2026-02-04 17:30:21.267194
61,"Punto grid",41.6006,1.4458,0,1.4,13.6,100,3.4,"BAJO LLOBREGAT",2026-02-04 17:30:21.409931
62,"Punto grid",41.6406,1.4458,0,1.4,13.6,100,3.4,"BAJO LLOBREGAT",2026-02-04 17:30:21.549031
63,"Punto grid",41.6806,1.4458,0,1.4,14.9,100,3.8,"BAJO LLOBREGAT",2026-02-04 17:30:21.688195
64,"Punto grid",41.7206,1.4458,0,1.4,17.4,100,3.8,"MEDIO LLOBREGAT",2026-02-04 17:30:21.828561
65,"Punto grid",41.7606,1.4458,0,1.4,17.4,100,3.8,"MEDIO LLOBREGAT",2026-02-04 17:30:21.968524
66,"Punto grid",41.8006,1.4458,0,1.5,21.6,100,5.6,"MEDIO LLOBREGAT",2026-02-04 17:30:22.107909
67,"Punto grid",41.8406,1.4458,0,1.5,21.6,100,5.6,"MEDIO LLOBREGAT",2026-02-04 17:30:22.247274
68,"Punto grid",41.8806,1.4458,0,1.7,27.2,100,9.2,"MEDIO LLOBREGAT",2026-02-04 17:30:22.387028
69,"Punto grid",41.9206,1.4458,0,1.8,32.9,100,12.6,"MEDIO LLOBREGAT",2026-02-04 17:30:22.527093
70,"Punto grid",41.9606,1.4458,0,1.8,32.9,100,12.6,"MEDIO LLOBREGAT",2026-02-04 17:30:22.666802
71,"Punto grid",42.0006,1.4458,0,2,36.9,100,14.1,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 17:30:22.807124
72,"Punto grid",42.0406,1.4458,0,1.8,39.1,100,14,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 17:30:22.946693
73,"Punto grid",42.0806,1.4458,0,1.8,39.1,100,14,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 17:30:23.086284
74,"Punto grid",42.1206,1.4458,0,0.6,35.7,100,5.4,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 17:30:23.225807
75,"Punto grid",42.1606,1.4458,0,0.7,34.2,100,5.6,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 17:30:23.365361
76,"Punto grid",42.2006,1.4458,0,0.3,29.7,100,4.6,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 17:30:23.507587
77,"Punto grid",42.2406,1.4458,0,0,27.6,100,5,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 17:30:23.64711
78,"Punto grid",42.2806,1.4458,0,0,22.3,100,4.4,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 17:30:23.788017
