"ID","Localidad","Lat","Lon","Precip_1h","Precip_24h","Precip_48h","Prob_Max","Pico_Valor","Zona_Llobregat","Timestamp_Captura"
1,"Punto grid",41.2806,1.3658,0.6,2.4,3,88,1.2,"DELTA",2026-02-08 08:01:48.281743
2,"Punto grid",41.3206,1.3658,0.6,2.4,3,88,1.2,"DELTA",2026-02-08 08:01:48.42909
3,"Punto grid",41.3606,1.3658,0.4,2,2.7,88,1,"DELTA",2026-02-08 08:01:48.560776
4,"Punto grid",41.4006,1.3658,0.4,2,2.7,88,1,"BAJO LLOBREGAT",2026-02-08 08:01:48.691427
5,"Punto grid",41.4406,1.3658,0.4,2,2.4,93,1,"BAJO LLOBREGAT",2026-02-08 08:01:48.829118
6,"Punto grid",41.4806,1.3658,0.6,3,3.7,93,1.2,"BAJO LLOBREGAT",2026-02-08 08:01:48.958679
7,"Punto grid",41.5206,1.3658,0.6,3,3.7,93,1.2,"BAJO LLOBREGAT",2026-02-08 08:01:49.087451
8,"Punto grid",41.5606,1.3658,0.8,3.6,4.2,93,1.4,"BAJO LLOBREGAT",2026-02-08 08:01:49.21972
9,"Punto grid",41.6006,1.3658,1,4.2,5,95,1.4,"BAJO LLOBREGAT",2026-02-08 08:01:49.351502
10,"Punto grid",41.6406,1.3658,1,4.2,5,95,1.4,"BAJO LLOBREGAT",2026-02-08 08:01:49.481797
11,"Punto grid",41.6806,1.3658,1.2,5,5.6,95,1.6,"BAJO LLOBREGAT",2026-02-08 08:01:49.612238
12,"Punto grid",41.7206,1.3658,1.8,6.2,6.8,98,2,"MEDIO LLOBREGAT",2026-02-08 08:01:49.743017
13,"Punto grid",41.7606,1.3658,1.8,6.2,6.8,98,2,"MEDIO LLOBREGAT",2026-02-08 08:01:49.901772
14,"Punto grid",41.8006,1.3658,1.8,6,6.6,98,2,"MEDIO LLOBREGAT",2026-02-08 08:01:50.031013
15,"Punto grid",41.8406,1.3658,1.8,6,6.6,100,2,"MEDIO LLOBREGAT",2026-02-08 08:01:50.159338
16,"Punto grid",41.8806,1.3658,1.8,6.6,7.4,100,2.2,"MEDIO LLOBREGAT",2026-02-08 08:01:50.288318
17,"Punto grid",41.9206,1.3658,1.6,6.6,7.2,100,2.4,"MEDIO LLOBREGAT",2026-02-08 08:01:50.415683
18,"Punto grid",41.9606,1.3658,1.6,6.6,7.2,98,2.4,"MEDIO LLOBREGAT",2026-02-08 08:01:50.545949
19,"Punto grid",42.0006,1.3658,1,4.8,5.4,98,1.8,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-08 08:01:50.676381
20,"Punto grid",42.0406,1.3658,0.8,4,4.6,98,1.4,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-08 08:01:50.804761
21,"Punto grid",42.0806,1.3658,0.8,3.8,4.4,100,1.2,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-08 08:01:50.932583
22,"Punto grid",42.1206,1.3658,0,5,5,100,1.6,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-08 08:01:51.062768
23,"Punto grid",42.1606,1.3658,0,3.6,3.6,100,1.4,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-08 08:01:51.192033
24,"Punto grid",42.2006,1.3658,0,2.6,2.6,100,1.4,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-08 08:01:51.321213
25,"Punto grid",42.2406,1.3658,0,2.4,2.4,100,1.7,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-08 08:01:51.450923
26,"Punto grid",42.2806,1.3658,0,2.1,2.1,100,1.3,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-08 08:01:51.580108
27,"Punto grid",41.2806,1.4058,0.6,2.4,3,88,1.2,"DELTA",2026-02-08 08:01:51.708857
28,"Punto grid",41.3206,1.4058,0.6,2.4,3,88,1.2,"DELTA",2026-02-08 08:01:51.838358
29,"Punto grid",41.3606,1.4058,0.4,2,2.7,88,1,"DELTA",2026-02-08 08:01:51.969061
30,"Punto grid",41.4006,1.4058,0.4,2.2,2.9,88,0.8,"BAJO LLOBREGAT",2026-02-08 08:01:52.098711
31,"Punto grid",41.4406,1.4058,0.4,2,2.4,93,1,"BAJO LLOBREGAT",2026-02-08 08:01:52.228046
32,"Punto grid",41.4806,1.4058,0.6,3,3.7,93,1.2,"BAJO LLOBREGAT",2026-02-08 08:01:52.357213
33,"Punto grid",41.5206,1.4058,0.6,3,3.7,93,1.2,"BAJO LLOBREGAT",2026-02-08 08:01:52.485835
34,"Punto grid",41.5606,1.4058,0.8,3.6,4.2,93,1.4,"BAJO LLOBREGAT",2026-02-08 08:01:52.613856
35,"Punto grid",41.6006,1.4058,1,4.2,5,95,1.4,"BAJO LLOBREGAT",2026-02-08 08:01:52.743675
36,"Punto grid",41.6406,1.4058,1,4.2,5,95,1.4,"BAJO LLOBREGAT",2026-02-08 08:01:52.873061
37,"Punto grid",41.6806,1.4058,1.2,5,5.6,95,1.6,"BAJO LLOBREGAT",2026-02-08 08:01:53.003422
38,"Punto grid",41.7206,1.4058,1.8,6.2,6.8,98,2,"MEDIO LLOBREGAT",2026-02-08 08:01:53.132876
39,"Punto grid",41.7606,1.4058,1.8,6.2,6.8,98,2,"MEDIO LLOBREGAT",2026-02-08 08:01:53.263594
40,"Punto grid",41.8006,1.4058,1.8,6,6.6,98,2,"MEDIO LLOBREGAT",2026-02-08 08:01:53.393214
41,"Punto grid",41.8406,1.4058,1.8,6,6.6,100,2,"MEDIO LLOBREGAT",2026-02-08 08:01:53.522539
42,"Punto grid",41.8806,1.4058,1.8,6.6,7.4,100,2.2,"MEDIO LLOBREGAT",2026-02-08 08:01:53.650489
43,"Punto grid",41.9206,1.4058,1.6,6.6,7.2,100,2.4,"MEDIO LLOBREGAT",2026-02-08 08:01:53.779869
44,"Punto grid",41.9606,1.4058,1.6,6.6,7.2,98,2.4,"MEDIO LLOBREGAT",2026-02-08 08:01:53.909367
