"ID","Localidad","Lat","Lon","Precip_1h","Precip_24h","Precip_48h","Prob_Max","Pico_Valor","Zona_Llobregat","Timestamp_Captura"
1,"Punto grid",41.2806,1.3658,0,5.8,5.8,100,1.8,"DELTA",2026-02-05 21:41:16.231638
2,"Punto grid",41.3206,1.3658,0,7.4,7.4,100,2.4,"DELTA",2026-02-05 21:41:16.357192
3,"Punto grid",41.3606,1.3658,0,8.9,9.1,100,2.8,"DELTA",2026-02-05 21:41:16.46594
4,"Punto grid",41.4006,1.3658,0,8.9,9.1,100,2.8,"BAJO LLOBREGAT",2026-02-05 21:41:16.574449
5,"Punto grid",41.4406,1.3658,0,10.6,11,100,3.6,"BAJO LLOBREGAT",2026-02-05 21:41:16.68316
6,"Punto grid",41.4806,1.3658,0,13.4,13.4,100,4.6,"BAJO LLOBREGAT",2026-02-05 21:41:16.792096
7,"Punto grid",41.5206,1.3658,0,13.4,13.4,100,4.6,"BAJO LLOBREGAT",2026-02-05 21:41:16.900025
8,"Punto grid",41.5606,1.3658,0,14.9,15.1,100,5,"BAJO LLOBREGAT",2026-02-05 21:41:17.009336
9,"Punto grid",41.6006,1.3658,0,15.7,15.9,100,5.2,"BAJO LLOBREGAT",2026-02-05 21:41:17.118634
10,"Punto grid",41.6406,1.3658,0,15.7,15.9,100,5.2,"BAJO LLOBREGAT",2026-02-05 21:41:17.226928
11,"Punto grid",41.6806,1.3658,0,18.2,18.2,100,5.4,"BAJO LLOBREGAT",2026-02-05 21:41:17.335509
12,"Punto grid",41.7206,1.3658,0,21,21.2,100,6.4,"MEDIO LLOBREGAT",2026-02-05 21:41:17.4438
13,"Punto grid",41.7606,1.3658,0,21,21.2,100,6.4,"MEDIO LLOBREGAT",2026-02-05 21:41:17.553795
14,"Punto grid",41.8006,1.3658,0,23.1,23.3,100,6.6,"MEDIO LLOBREGAT",2026-02-05 21:41:17.660063
15,"Punto grid",41.8406,1.3658,0,23.1,23.3,100,6.6,"MEDIO LLOBREGAT",2026-02-05 21:41:17.76675
16,"Punto grid",41.8806,1.3658,0,24.8,25.2,100,6.6,"MEDIO LLOBREGAT",2026-02-05 21:41:17.87364
17,"Punto grid",41.9206,1.3658,0,26.8,27.4,100,6.2,"MEDIO LLOBREGAT",2026-02-05 21:41:17.979854
18,"Punto grid",41.9606,1.3658,0,26.8,27.4,100,6.2,"MEDIO LLOBREGAT",2026-02-05 21:41:18.086511
19,"Punto grid",42.0006,1.3658,0,27.5,28.3,100,5.8,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-05 21:41:18.192572
20,"Punto grid",42.0406,1.3658,0,29.1,29.5,100,6.4,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-05 21:41:18.299894
21,"Punto grid",42.0806,1.3658,0,30.8,31.2,100,6.4,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-05 21:41:18.406301
22,"Punto grid",42.1206,1.3658,0,35.6,38.1,100,8.3,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-05 21:41:18.512053
23,"Punto grid",42.1606,1.3658,0,36.3,39.1,100,8.2,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-05 21:41:18.618618
24,"Punto grid",42.2006,1.3658,0,39.5,41.2,100,10.2,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-05 21:41:18.724825
25,"Punto grid",42.2406,1.3658,0,35.3,36.3,100,8.6,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-05 21:41:18.831313
26,"Punto grid",42.2806,1.3658,0,36.4,36.7,100,7.9,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-05 21:41:18.937297
27,"Punto grid",41.2806,1.4058,0,5.8,5.8,100,1.8,"DELTA",2026-02-05 21:41:19.044367
