"ID","Localidad","Lat","Lon","Precip_1h","Precip_24h","Precip_48h","Prob_Max","Pico_Valor","Zona_Llobregat","Timestamp_Captura"
1,"Punto grid",41.2806,1.3658,0,5.8,6,100,1.8,"DELTA",2026-02-05 19:27:43.644175
2,"Punto grid",41.3206,1.3658,0,7.4,7.6,100,2.4,"DELTA",2026-02-05 19:27:43.765721
3,"Punto grid",41.3606,1.3658,0,8.9,9.3,100,2.8,"DELTA",2026-02-05 19:27:43.869872
4,"Punto grid",41.4006,1.3658,0,8.9,9.3,100,2.8,"BAJO LLOBREGAT",2026-02-05 19:27:43.974454
5,"Punto grid",41.4406,1.3658,0,10.6,11.4,100,3.6,"BAJO LLOBREGAT",2026-02-05 19:27:44.078371
6,"Punto grid",41.4806,1.3658,0,13.4,13.6,100,4.6,"BAJO LLOBREGAT",2026-02-05 19:27:44.182352
7,"Punto grid",41.5206,1.3658,0,13.4,13.6,100,4.6,"BAJO LLOBREGAT",2026-02-05 19:27:44.286725
8,"Punto grid",41.5606,1.3658,0,14.9,15.1,100,5,"BAJO LLOBREGAT",2026-02-05 19:27:44.391477
9,"Punto grid",41.6006,1.3658,0,15.7,15.9,100,5.2,"BAJO LLOBREGAT",2026-02-05 19:27:44.49563
10,"Punto grid",41.6406,1.3658,0,15.7,15.9,100,5.2,"BAJO LLOBREGAT",2026-02-05 19:27:44.599301
11,"Punto grid",41.6806,1.3658,0,18.2,18.4,100,5.4,"BAJO LLOBREGAT",2026-02-05 19:27:44.703092
12,"Punto grid",41.7206,1.3658,0,21,21,100,6.4,"MEDIO LLOBREGAT",2026-02-05 19:27:44.807745
13,"Punto grid",41.7606,1.3658,0,21,21,100,6.4,"MEDIO LLOBREGAT",2026-02-05 19:27:44.91414
14,"Punto grid",41.8006,1.3658,0,23.1,23.1,100,6.6,"MEDIO LLOBREGAT",2026-02-05 19:27:45.017035
15,"Punto grid",41.8406,1.3658,0,23.1,23.1,100,6.6,"MEDIO LLOBREGAT",2026-02-05 19:27:45.119558
16,"Punto grid",41.8806,1.3658,0,24.8,24.8,100,6.6,"MEDIO LLOBREGAT",2026-02-05 19:27:45.221965
17,"Punto grid",41.9206,1.3658,0,26.8,26.8,100,6.2,"MEDIO LLOBREGAT",2026-02-05 19:27:45.324836
18,"Punto grid",41.9606,1.3658,0,26.8,26.8,100,6.2,"MEDIO LLOBREGAT",2026-02-05 19:27:45.428142
19,"Punto grid",42.0006,1.3658,0,27.7,27.7,100,5.8,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-05 19:27:45.530972
20,"Punto grid",42.0406,1.3658,0,29.3,29.3,100,6.4,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-05 19:27:45.633387
21,"Punto grid",42.0806,1.3658,0,31.6,32,100,6.4,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-05 19:27:45.736336
22,"Punto grid",42.1206,1.3658,0,35.6,38.1,100,8.3,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-05 19:27:45.838999
23,"Punto grid",42.1606,1.3658,0,36.3,39.1,100,8.2,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-05 19:27:45.942369
24,"Punto grid",42.2006,1.3658,0,39.5,41.2,100,10.2,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-05 19:27:46.045384
25,"Punto grid",42.2406,1.3658,0,35.3,36.3,100,8.6,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-05 19:27:46.148557
26,"Punto grid",42.2806,1.3658,0,36.4,36.7,100,7.9,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-05 19:27:46.252052
27,"Punto grid",41.2806,1.4058,0,5.8,6,100,1.8,"DELTA",2026-02-05 19:27:46.355087
28,"Punto grid",41.3206,1.4058,0,7.4,7.6,100,2.4,"DELTA",2026-02-05 19:27:46.45783
29,"Punto grid",41.3606,1.4058,0,8.9,9.3,100,2.8,"DELTA",2026-02-05 19:27:46.562476
30,"Punto grid",41.4006,1.4058,0,9.6,10.4,100,3.4,"BAJO LLOBREGAT",2026-02-05 19:27:46.665293
31,"Punto grid",41.4406,1.4058,0,10.6,11.4,100,3.6,"BAJO LLOBREGAT",2026-02-05 19:27:46.768617
32,"Punto grid",41.4806,1.4058,0,13.4,13.6,100,4.6,"BAJO LLOBREGAT",2026-02-05 19:27:46.871086
33,"Punto grid",41.5206,1.4058,0,13.4,13.6,100,4.6,"BAJO LLOBREGAT",2026-02-05 19:27:46.973689
34,"Punto grid",41.5606,1.4058,0,14.9,15.1,100,5,"BAJO LLOBREGAT",2026-02-05 19:27:47.07628
35,"Punto grid",41.6006,1.4058,0,15.7,15.9,100,5.2,"BAJO LLOBREGAT",2026-02-05 19:27:47.178668
36,"Punto grid",41.6406,1.4058,0,15.7,15.9,100,5.2,"BAJO LLOBREGAT",2026-02-05 19:27:47.281161
37,"Punto grid",41.6806,1.4058,0,18.2,18.4,100,5.4,"BAJO LLOBREGAT",2026-02-05 19:27:47.383787
38,"Punto grid",41.7206,1.4058,0,21,21,100,6.4,"MEDIO LLOBREGAT",2026-02-05 19:27:47.486204
39,"Punto grid",41.7606,1.4058,0,21,21,100,6.4,"MEDIO LLOBREGAT",2026-02-05 19:27:47.588374
40,"Punto grid",41.8006,1.4058,0,23.1,23.1,100,6.6,"MEDIO LLOBREGAT",2026-02-05 19:27:47.691464
41,"Punto grid",41.8406,1.4058,0,23.1,23.1,100,6.6,"MEDIO LLOBREGAT",2026-02-05 19:27:47.793959
42,"Punto grid",41.8806,1.4058,0,24.8,24.8,100,6.6,"MEDIO LLOBREGAT",2026-02-05 19:27:47.896652
43,"Punto grid",41.9206,1.4058,0,26.8,26.8,100,6.2,"MEDIO LLOBREGAT",2026-02-05 19:27:48.000453
44,"Punto grid",41.9606,1.4058,0,26.8,26.8,100,6.2,"MEDIO LLOBREGAT",2026-02-05 19:27:48.10472
45,"Punto grid",42.0006,1.4058,0,27.7,27.7,100,5.8,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-05 19:27:48.209881
46,"Punto grid",42.0406,1.4058,0,29.3,29.3,100,6.4,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-05 19:27:48.312798
47,"Punto grid",42.0806,1.4058,0,29.3,29.3,100,6.4,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-05 19:27:48.41562
48,"Punto grid",42.1206,1.4058,0,35.1,36.6,100,8.2,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-05 19:27:48.519237
49,"Punto grid",42.1606,1.4058,0,38.5,40.3,100,7.8,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-05 19:27:48.62291
50,"Punto grid",42.2006,1.4058,0,36.4,38.1,100,8.8,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-05 19:27:48.726379
51,"Punto grid",42.2406,1.4058,0,32,33.2,100,7.8,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-05 19:27:48.829144
52,"Punto grid",42.2806,1.4058,0,35,35.4,100,7.7,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-05 19:27:48.931864
53,"Punto grid",41.2806,1.4458,0,5.2,5.2,100,1.6,"DELTA",2026-02-05 19:27:49.034076
54,"Punto grid",41.3206,1.4458,0,7.6,7.8,100,2,"DELTA",2026-02-05 19:27:49.136746
55,"Punto grid",41.3606,1.4458,0,8.5,8.9,100,2.6,"DELTA",2026-02-05 19:27:49.239647
56,"Punto grid",41.4006,1.4458,0,8.5,8.9,100,2.6,"BAJO LLOBREGAT",2026-02-05 19:27:49.342546
57,"Punto grid",41.4406,1.4458,0,9.6,10.4,100,3.4,"BAJO LLOBREGAT",2026-02-05 19:27:49.44532
58,"Punto grid",41.4806,1.4458,0,12.4,12.5,100,4.2,"BAJO LLOBREGAT",2026-02-05 19:27:49.547818
59,"Punto grid",41.5206,1.4458,0,12.4,12.5,100,4.2,"BAJO LLOBREGAT",2026-02-05 19:27:49.662151
60,"Punto grid",41.5606,1.4458,0,14.1,14.1,100,4.8,"BAJO LLOBREGAT",2026-02-05 19:27:49.764499
61,"Punto grid",41.6006,1.4458,0,15.9,15.9,100,5.2,"BAJO LLOBREGAT",2026-02-05 19:27:49.868756
62,"Punto grid",41.6406,1.4458,0,15.9,15.9,100,5.2,"BAJO LLOBREGAT",2026-02-05 19:27:49.972243
63,"Punto grid",41.6806,1.4458,0,18.2,18.2,100,5.7,"BAJO LLOBREGAT",2026-02-05 19:27:50.075155
64,"Punto grid",41.7206,1.4458,0,20,20,100,6,"MEDIO LLOBREGAT",2026-02-05 19:27:50.177917
65,"Punto grid",41.7606,1.4458,0,20,20,100,6,"MEDIO LLOBREGAT",2026-02-05 19:27:50.280591
66,"Punto grid",41.8006,1.4458,0,21.8,21.8,100,6.2,"MEDIO LLOBREGAT",2026-02-05 19:27:50.383267
67,"Punto grid",41.8406,1.4458,0,21.8,21.8,100,6.2,"MEDIO LLOBREGAT",2026-02-05 19:27:50.486272
68,"Punto grid",41.8806,1.4458,0,24,24,100,6.4,"MEDIO LLOBREGAT",2026-02-05 19:27:50.589209
69,"Punto grid",41.9206,1.4458,0,25.7,25.7,100,6.1,"MEDIO LLOBREGAT",2026-02-05 19:27:50.692127
70,"Punto grid",41.9606,1.4458,0,25.7,25.7,100,6.1,"MEDIO LLOBREGAT",2026-02-05 19:27:50.794614
71,"Punto grid",42.0006,1.4458,0,27.2,27.2,100,5.4,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-05 19:27:50.897599
72,"Punto grid",42.0406,1.4458,0,28.4,28.4,100,5.8,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-05 19:27:51.000009
