"ID","Localidad","Lat","Lon","Precip_1h","Precip_24h","Precip_48h","Prob_Max","Pico_Valor","Zona_Llobregat","Timestamp_Captura"
1,"Punto grid",41.2806,1.3658,0,1.6,6.5,95,2.2,"DELTA",2026-02-04 02:46:20.579059
2,"Punto grid",41.3206,1.3658,0,1.6,7.8,95,2,"DELTA",2026-02-04 02:46:20.74671
3,"Punto grid",41.3606,1.3658,0,1.8,10,95,2,"DELTA",2026-02-04 02:46:20.899678
4,"Punto grid",41.4006,1.3658,0,1.8,10,95,2,"BAJO LLOBREGAT",2026-02-04 02:46:21.052619
5,"Punto grid",41.4406,1.3658,0,2.8,13,93,2.4,"BAJO LLOBREGAT",2026-02-04 02:46:21.20568
6,"Punto grid",41.4806,1.3658,0,3.4,12,93,2.4,"BAJO LLOBREGAT",2026-02-04 02:46:21.358441
7,"Punto grid",41.5206,1.3658,0,3.4,12,93,2.4,"BAJO LLOBREGAT",2026-02-04 02:46:21.51182
8,"Punto grid",41.5606,1.3658,0,2.8,11.4,93,2.2,"BAJO LLOBREGAT",2026-02-04 02:46:21.665087
9,"Punto grid",41.6006,1.3658,0,2.6,11.4,95,2.4,"BAJO LLOBREGAT",2026-02-04 02:46:21.817788
10,"Punto grid",41.6406,1.3658,0,2.6,11.4,95,2.4,"BAJO LLOBREGAT",2026-02-04 02:46:21.97082
11,"Punto grid",41.6806,1.3658,0,2,11.2,95,2.6,"BAJO LLOBREGAT",2026-02-04 02:46:22.123824
12,"Punto grid",41.7206,1.3658,0,2.2,11.4,90,2.8,"MEDIO LLOBREGAT",2026-02-04 02:46:22.276713
13,"Punto grid",41.7606,1.3658,0,2.2,11.4,90,2.8,"MEDIO LLOBREGAT",2026-02-04 02:46:22.432255
14,"Punto grid",41.8006,1.3658,0,2.5,12.3,90,3,"MEDIO LLOBREGAT",2026-02-04 02:46:22.584249
15,"Punto grid",41.8406,1.3658,0,2.5,12.3,93,3,"MEDIO LLOBREGAT",2026-02-04 02:46:22.736352
16,"Punto grid",41.8806,1.3658,0,3.1,15.2,93,3.2,"MEDIO LLOBREGAT",2026-02-04 02:46:22.888467
17,"Punto grid",41.9206,1.3658,0,3.9,18.9,93,3.6,"MEDIO LLOBREGAT",2026-02-04 02:46:23.04069
18,"Punto grid",41.9606,1.3658,0,3.9,18.9,95,3.6,"MEDIO LLOBREGAT",2026-02-04 02:46:23.193192
19,"Punto grid",42.0006,1.3658,0,3.9,19.4,95,4.2,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 02:46:23.347705
20,"Punto grid",42.0406,1.3658,0,4.1,18.4,95,5.6,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 02:46:23.500338
21,"Punto grid",42.0806,1.3658,0,4.1,20.9,98,7.6,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 02:46:23.652534
22,"Punto grid",42.1206,1.3658,0,0.9,16.98,98,6.3,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 02:46:23.809333
23,"Punto grid",42.1606,1.3658,0,1.9,13.9,98,4.1,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 02:46:23.961262
24,"Punto grid",42.2006,1.3658,0,0.5,15.3,98,4.2,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 02:46:24.113377
25,"Punto grid",42.2406,1.3658,0,0.2,15.88,98,4.2,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 02:46:24.265872
26,"Punto grid",42.2806,1.3658,0,0,13.9,98,3.5,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 02:46:24.417745
