"ID","Localidad","Lat","Lon","Precip_1h","Precip_24h","Precip_48h","Prob_Max","Pico_Valor","Zona_Llobregat","Timestamp_Captura"
1,"Punto grid",41.2806,1.3658,0,6.6,6.6,100,2.4,"DELTA",2026-02-05 07:36:58.413672
2,"Punto grid",41.3206,1.3658,0,7.9,7.9,100,2.6,"DELTA",2026-02-05 07:36:58.572074
3,"Punto grid",41.3606,1.3658,0,10.3,10.3,100,3.3,"DELTA",2026-02-05 07:36:58.712885
4,"Punto grid",41.4006,1.3658,0,10.3,10.3,100,3.3,"BAJO LLOBREGAT",2026-02-05 07:36:58.853949
5,"Punto grid",41.4406,1.3658,0,14,14.1,100,4.4,"BAJO LLOBREGAT",2026-02-05 07:36:58.994601
6,"Punto grid",41.4806,1.3658,0,17.1,17.3,100,5.6,"BAJO LLOBREGAT",2026-02-05 07:36:59.135393
7,"Punto grid",41.5206,1.3658,0,17.1,17.3,100,5.6,"BAJO LLOBREGAT",2026-02-05 07:36:59.27639
8,"Punto grid",41.5606,1.3658,0,18.3,18.3,100,6,"BAJO LLOBREGAT",2026-02-05 07:36:59.417034
9,"Punto grid",41.6006,1.3658,0,18.5,18.5,100,6,"BAJO LLOBREGAT",2026-02-05 07:36:59.559348
10,"Punto grid",41.6406,1.3658,0,18.5,18.5,100,6,"BAJO LLOBREGAT",2026-02-05 07:36:59.69956
11,"Punto grid",41.6806,1.3658,0,20.4,20.4,100,6,"BAJO LLOBREGAT",2026-02-05 07:36:59.840175
12,"Punto grid",41.7206,1.3658,0,22.3,22.3,100,6.4,"MEDIO LLOBREGAT",2026-02-05 07:36:59.981099
13,"Punto grid",41.7606,1.3658,0,22.3,22.3,100,6.4,"MEDIO LLOBREGAT",2026-02-05 07:37:00.123879
14,"Punto grid",41.8006,1.3658,0,22.4,22.4,100,6.8,"MEDIO LLOBREGAT",2026-02-05 07:37:00.266126
15,"Punto grid",41.8406,1.3658,0,22.4,22.4,100,6.8,"MEDIO LLOBREGAT",2026-02-05 07:37:00.421553
16,"Punto grid",41.8806,1.3658,0,23.5,23.5,100,7.1,"MEDIO LLOBREGAT",2026-02-05 07:37:00.579483
17,"Punto grid",41.9206,1.3658,0,24.3,24.3,100,7.2,"MEDIO LLOBREGAT",2026-02-05 07:37:00.719072
18,"Punto grid",41.9606,1.3658,0,24.3,24.3,100,7.2,"MEDIO LLOBREGAT",2026-02-05 07:37:00.857842
19,"Punto grid",42.0006,1.3658,0,23.1,23.1,100,6.3,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-05 07:37:00.997817
20,"Punto grid",42.0406,1.3658,0,23.8,23.8,100,5.6,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-05 07:37:01.13689
21,"Punto grid",42.0806,1.3658,0,27.2,27.4,100,5.8,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-05 07:37:01.276495
22,"Punto grid",42.1206,1.3658,0,26.2,26.5,100,8.3,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-05 07:37:01.415717
23,"Punto grid",42.1606,1.3658,0,23.6,24.2,100,6.6,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-05 07:37:01.554864
24,"Punto grid",42.2006,1.3658,0,25.8,26.8,100,6,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-05 07:37:01.693847
25,"Punto grid",42.2406,1.3658,0,25.2,27.3,100,6.3,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-05 07:37:01.836955
26,"Punto grid",42.2806,1.3658,0,26,26.9,100,7,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-05 07:37:01.976348
27,"Punto grid",41.2806,1.4058,0,6.6,6.6,100,2.4,"DELTA",2026-02-05 07:37:02.115648
28,"Punto grid",41.3206,1.4058,0,7.9,7.9,100,2.6,"DELTA",2026-02-05 07:37:02.254956
29,"Punto grid",41.3606,1.4058,0,10.3,10.3,100,3.3,"DELTA",2026-02-05 07:37:02.397046
30,"Punto grid",41.4006,1.4058,0,13.6,13.8,100,4.3,"BAJO LLOBREGAT",2026-02-05 07:37:02.536362
31,"Punto grid",41.4406,1.4058,0,14,14.1,100,4.4,"BAJO LLOBREGAT",2026-02-05 07:37:02.675827
32,"Punto grid",41.4806,1.4058,0,17.1,17.3,100,5.6,"BAJO LLOBREGAT",2026-02-05 07:37:02.814979
33,"Punto grid",41.5206,1.4058,0,17.1,17.3,100,5.6,"BAJO LLOBREGAT",2026-02-05 07:37:02.954097
34,"Punto grid",41.5606,1.4058,0,18.3,18.3,100,6,"BAJO LLOBREGAT",2026-02-05 07:37:03.093356
35,"Punto grid",41.6006,1.4058,0,18.5,18.5,100,6,"BAJO LLOBREGAT",2026-02-05 07:37:03.232901
36,"Punto grid",41.6406,1.4058,0,18.5,18.5,100,6,"BAJO LLOBREGAT",2026-02-05 07:37:03.372146
37,"Punto grid",41.6806,1.4058,0,20.4,20.4,100,6,"BAJO LLOBREGAT",2026-02-05 07:37:03.5115
38,"Punto grid",41.7206,1.4058,0,22.3,22.3,100,6.4,"MEDIO LLOBREGAT",2026-02-05 07:37:03.653969
39,"Punto grid",41.7606,1.4058,0,22.3,22.3,100,6.4,"MEDIO LLOBREGAT",2026-02-05 07:37:03.792959
40,"Punto grid",41.8006,1.4058,0,22.4,22.4,100,6.8,"MEDIO LLOBREGAT",2026-02-05 07:37:03.932125
