"ID","Localidad","Lat","Lon","Precip_1h","Precip_24h","Precip_48h","Prob_Max","Pico_Valor","Zona_Llobregat","Timestamp_Captura"
1,"Punto grid",41.2806,1.3658,0,0.4,3,78,1.6,"DELTA",2026-02-06 07:13:25.10493
2,"Punto grid",41.3206,1.3658,0,1,3.4,73,1.4,"DELTA",2026-02-06 07:13:25.299019
3,"Punto grid",41.3606,1.3658,0,1.7,3.9,73,1.3,"DELTA",2026-02-06 07:13:25.478439
4,"Punto grid",41.4006,1.3658,0,1.7,3.9,73,1.3,"BAJO LLOBREGAT",2026-02-06 07:13:25.655537
5,"Punto grid",41.4406,1.3658,0,2.2,4.8,70,2,"BAJO LLOBREGAT",2026-02-06 07:13:25.829502
6,"Punto grid",41.4806,1.3658,0,0.8,4,70,2.2,"BAJO LLOBREGAT",2026-02-06 07:13:26.003028
7,"Punto grid",41.5206,1.3658,0,0.8,4,70,2.2,"BAJO LLOBREGAT",2026-02-06 07:13:26.18308
8,"Punto grid",41.5606,1.3658,0,1.1,4.3,70,2.4,"BAJO LLOBREGAT",2026-02-06 07:13:26.357096
9,"Punto grid",41.6006,1.3658,0,1.2,4.2,63,2.6,"BAJO LLOBREGAT",2026-02-06 07:13:26.530836
10,"Punto grid",41.6406,1.3658,0,1.2,4.2,63,2.6,"BAJO LLOBREGAT",2026-02-06 07:13:26.704217
11,"Punto grid",41.6806,1.3658,0,1.4,4,63,2.4,"BAJO LLOBREGAT",2026-02-06 07:13:26.878303
12,"Punto grid",41.7206,1.3658,0,1.7,4.3,55,2.4,"MEDIO LLOBREGAT",2026-02-06 07:13:27.056238
13,"Punto grid",41.7606,1.3658,0,1.7,4.3,55,2.4,"MEDIO LLOBREGAT",2026-02-06 07:13:27.233457
14,"Punto grid",41.8006,1.3658,0,1.8,3.4,55,1.6,"MEDIO LLOBREGAT",2026-02-06 07:13:27.405418
15,"Punto grid",41.8406,1.3658,0,1.8,3.4,50,1.6,"MEDIO LLOBREGAT",2026-02-06 07:13:27.577665
16,"Punto grid",41.8806,1.3658,0,3.1,4.3,50,1.2,"MEDIO LLOBREGAT",2026-02-06 07:13:27.7499
17,"Punto grid",41.9206,1.3658,0,4.4,5,50,2,"MEDIO LLOBREGAT",2026-02-06 07:13:27.924797
18,"Punto grid",41.9606,1.3658,0,4.4,5,45,2,"MEDIO LLOBREGAT",2026-02-06 07:13:28.103431
19,"Punto grid",42.0006,1.3658,0,6.2,6.6,45,3.4,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:28.275658
20,"Punto grid",42.0406,1.3658,0,7.2,8.3,45,3.6,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:28.447896
21,"Punto grid",42.0806,1.3658,0.6,7.5,9.4,63,3.3,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:28.620457
22,"Punto grid",42.1206,1.3658,0,11.9,18.7,63,11.4,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:28.797996
23,"Punto grid",42.1606,1.3658,0,7.2,14.8,63,7,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:28.970378
24,"Punto grid",42.2006,1.3658,0.2,4.3,12.7,53,6.1,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:29.143628
25,"Punto grid",42.2406,1.3658,1.4,5.5,13.6,53,6.4,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:29.316533
26,"Punto grid",42.2806,1.3658,0.3,1.6,6.4,53,3.1,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:29.489197
27,"Punto grid",41.2806,1.4058,0,0.4,3,78,1.6,"DELTA",2026-02-06 07:13:29.66695
28,"Punto grid",41.3206,1.4058,0,1,3.4,73,1.4,"DELTA",2026-02-06 07:13:29.839061
29,"Punto grid",41.3606,1.4058,0,1.7,3.9,73,1.3,"DELTA",2026-02-06 07:13:30.014288
30,"Punto grid",41.4006,1.4058,0,1.7,3.9,73,1.4,"BAJO LLOBREGAT",2026-02-06 07:13:30.186624
31,"Punto grid",41.4406,1.4058,0,2.2,4.8,70,2,"BAJO LLOBREGAT",2026-02-06 07:13:30.359521
32,"Punto grid",41.4806,1.4058,0,0.8,4,70,2.2,"BAJO LLOBREGAT",2026-02-06 07:13:30.532143
33,"Punto grid",41.5206,1.4058,0,0.8,4,70,2.2,"BAJO LLOBREGAT",2026-02-06 07:13:30.704451
34,"Punto grid",41.5606,1.4058,0,1.1,4.3,70,2.4,"BAJO LLOBREGAT",2026-02-06 07:13:30.876869
35,"Punto grid",41.6006,1.4058,0,1.2,4.2,63,2.6,"BAJO LLOBREGAT",2026-02-06 07:13:31.049877
36,"Punto grid",41.6406,1.4058,0,1.2,4.2,63,2.6,"BAJO LLOBREGAT",2026-02-06 07:13:31.222254
37,"Punto grid",41.6806,1.4058,0,1.4,4,63,2.4,"BAJO LLOBREGAT",2026-02-06 07:13:31.395592
38,"Punto grid",41.7206,1.4058,0,1.7,4.3,55,2.4,"MEDIO LLOBREGAT",2026-02-06 07:13:31.56854
39,"Punto grid",41.7606,1.4058,0,1.7,4.3,55,2.4,"MEDIO LLOBREGAT",2026-02-06 07:13:31.740618
40,"Punto grid",41.8006,1.4058,0,1.8,3.4,55,1.6,"MEDIO LLOBREGAT",2026-02-06 07:13:31.913072
41,"Punto grid",41.8406,1.4058,0,1.8,3.4,50,1.6,"MEDIO LLOBREGAT",2026-02-06 07:13:32.092207
42,"Punto grid",41.8806,1.4058,0,3.1,4.3,50,1.2,"MEDIO LLOBREGAT",2026-02-06 07:13:32.264968
43,"Punto grid",41.9206,1.4058,0,4.4,5,50,2,"MEDIO LLOBREGAT",2026-02-06 07:13:32.437798
44,"Punto grid",41.9606,1.4058,0,4.4,5,45,2,"MEDIO LLOBREGAT",2026-02-06 07:13:32.610072
45,"Punto grid",42.0006,1.4058,0,6.2,6.6,45,3.4,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:32.784848
46,"Punto grid",42.0406,1.4058,0,7.2,8.3,45,3.6,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:32.95699
47,"Punto grid",42.0806,1.4058,0,7.2,8.3,63,3.6,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:33.129296
48,"Punto grid",42.1206,1.4058,0,11.5,19.7,63,11.3,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:33.303714
49,"Punto grid",42.1606,1.4058,0,9.7,17.7,63,9.5,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:33.476477
50,"Punto grid",42.2006,1.4058,0.4,6.3,14.6,53,5.9,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:33.648873
51,"Punto grid",42.2406,1.4058,1.4,4,11.2,53,5.8,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:33.822119
52,"Punto grid",42.2806,1.4058,0.3,1.8,8.1,53,4.6,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:33.994432
53,"Punto grid",41.2806,1.4458,0,0.2,2.6,68,1.4,"DELTA",2026-02-06 07:13:34.170331
54,"Punto grid",41.3206,1.4458,0,1.4,3.6,65,1.2,"DELTA",2026-02-06 07:13:34.342986
55,"Punto grid",41.3606,1.4458,0,2.2,4.4,65,1.4,"DELTA",2026-02-06 07:13:34.516445
56,"Punto grid",41.4006,1.4458,0,2.2,4.4,65,1.4,"BAJO LLOBREGAT",2026-02-06 07:13:34.689232
57,"Punto grid",41.4406,1.4458,0,1.7,3.9,60,1.4,"BAJO LLOBREGAT",2026-02-06 07:13:34.861745
58,"Punto grid",41.4806,1.4458,0,1,3.8,60,2,"BAJO LLOBREGAT",2026-02-06 07:13:35.033989
59,"Punto grid",41.5206,1.4458,0,1,3.8,60,2,"BAJO LLOBREGAT",2026-02-06 07:13:35.205988
60,"Punto grid",41.5606,1.4458,0,1.1,3.9,60,2.2,"BAJO LLOBREGAT",2026-02-06 07:13:35.379915
61,"Punto grid",41.6006,1.4458,0,1.2,4,63,2.4,"BAJO LLOBREGAT",2026-02-06 07:13:35.554725
62,"Punto grid",41.6406,1.4458,0,1.2,4,63,2.4,"BAJO LLOBREGAT",2026-02-06 07:13:35.726842
63,"Punto grid",41.6806,1.4458,0,1.5,3.9,63,2.4,"BAJO LLOBREGAT",2026-02-06 07:13:35.899065
64,"Punto grid",41.7206,1.4458,0,1.5,3.9,50,2.2,"MEDIO LLOBREGAT",2026-02-06 07:13:36.071662
65,"Punto grid",41.7606,1.4458,0,1.5,3.9,50,2.2,"MEDIO LLOBREGAT",2026-02-06 07:13:36.244187
66,"Punto grid",41.8006,1.4458,0,1.5,3.1,50,1.4,"MEDIO LLOBREGAT",2026-02-06 07:13:36.416995
67,"Punto grid",41.8406,1.4458,0,1.5,3.1,45,1.4,"MEDIO LLOBREGAT",2026-02-06 07:13:36.589055
68,"Punto grid",41.8806,1.4458,0,2.5,3.7,45,1,"MEDIO LLOBREGAT",2026-02-06 07:13:36.761243
69,"Punto grid",41.9206,1.4458,0,4,4.8,45,1.6,"MEDIO LLOBREGAT",2026-02-06 07:13:36.933226
70,"Punto grid",41.9606,1.4458,0,4,4.8,45,1.6,"MEDIO LLOBREGAT",2026-02-06 07:13:37.105232
71,"Punto grid",42.0006,1.4458,0,5.1,5.7,45,3.1,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:37.277177
72,"Punto grid",42.0406,1.4458,0,5.9,7.1,45,3.1,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:37.449579
73,"Punto grid",42.0806,1.4458,0,5.9,7.1,45,3.1,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:37.624755
74,"Punto grid",42.1206,1.4458,0,8.9,16.1,45,8.9,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:37.797482
75,"Punto grid",42.1606,1.4458,0.1,10,17.8,53,9.7,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:37.969946
76,"Punto grid",42.2006,1.4458,0.8,7.5,16.9,53,6.7,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:38.142132
77,"Punto grid",42.2406,1.4458,1.3,3.2,12,53,6.5,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:38.314674
78,"Punto grid",42.2806,1.4458,0.1,0.8,8,53,5.2,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:38.489667
79,"Punto grid",41.2806,1.4858,0,0,2,68,1,"DELTA",2026-02-06 07:13:38.663095
80,"Punto grid",41.3206,1.4858,0,1,2.8,65,1,"DELTA",2026-02-06 07:13:38.835542
81,"Punto grid",41.3606,1.4858,0,1.5,3.5,65,1.2,"DELTA",2026-02-06 07:13:39.007944
82,"Punto grid",41.4006,1.4858,0,1.5,3.5,65,1.2,"BAJO LLOBREGAT",2026-02-06 07:13:39.191408
83,"Punto grid",41.4406,1.4858,0,0.9,3.1,60,1.6,"BAJO LLOBREGAT",2026-02-06 07:13:39.363972
84,"Punto grid",41.4806,1.4858,0,0.9,3.3,60,1.8,"BAJO LLOBREGAT",2026-02-06 07:13:39.53646
85,"Punto grid",41.5206,1.4858,0,0.9,3.3,60,1.8,"BAJO LLOBREGAT",2026-02-06 07:13:39.708801
86,"Punto grid",41.5606,1.4858,0,0.6,2.8,60,1.8,"BAJO LLOBREGAT",2026-02-06 07:13:39.882016
87,"Punto grid",41.6006,1.4858,0,0.8,3,63,2,"BAJO LLOBREGAT",2026-02-06 07:13:40.054918
88,"Punto grid",41.6406,1.4858,0,0.8,3,63,2,"BAJO LLOBREGAT",2026-02-06 07:13:40.227205
89,"Punto grid",41.6806,1.4858,0,1,3.2,63,2.2,"BAJO LLOBREGAT",2026-02-06 07:13:40.400724
90,"Punto grid",41.7206,1.4858,0,1.2,3.4,50,2,"MEDIO LLOBREGAT",2026-02-06 07:13:40.573487
91,"Punto grid",41.7606,1.4858,0,1.2,3.4,50,2,"MEDIO LLOBREGAT",2026-02-06 07:13:40.745357
92,"Punto grid",41.8006,1.4858,0,1,2.4,50,1.2,"MEDIO LLOBREGAT",2026-02-06 07:13:40.919513
93,"Punto grid",41.8406,1.4858,0,1,2.4,45,1.2,"MEDIO LLOBREGAT",2026-02-06 07:13:41.091424
94,"Punto grid",41.8806,1.4858,0,1.6,2.4,45,0.9,"MEDIO LLOBREGAT",2026-02-06 07:13:41.265556
95,"Punto grid",41.9206,1.4858,0,2.3,2.7,45,1.5,"MEDIO LLOBREGAT",2026-02-06 07:13:41.440474
96,"Punto grid",41.9606,1.4858,0,2.3,2.7,45,1.5,"MEDIO LLOBREGAT",2026-02-06 07:13:41.612526
97,"Punto grid",42.0006,1.4858,0,4,4.7,45,2.6,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:41.784549
98,"Punto grid",42.0406,1.4858,0,5.1,6.5,45,3,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:41.962753
99,"Punto grid",42.0806,1.4858,0,5.1,6.5,45,3,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:42.134967
100,"Punto grid",42.1206,1.4858,0.2,8.6,15.1,45,8.4,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:42.308507
101,"Punto grid",42.1606,1.4858,0.7,9,17.6,53,7.9,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:42.951118
102,"Punto grid",42.2006,1.4858,1.6,7,15.9,53,5.2,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:43.118902
103,"Punto grid",42.2406,1.4858,1,2.2,12.7,53,7.4,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:43.286837
104,"Punto grid",42.2806,1.4858,0.1,0.8,9.4,53,6.2,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:43.454725
105,"Punto grid",41.2806,1.5258,0,0,2,68,1,"DELTA",2026-02-06 07:13:43.622868
106,"Punto grid",41.3206,1.5258,0,1,2.8,65,1,"DELTA",2026-02-06 07:13:43.790658
107,"Punto grid",41.3606,1.5258,0,1.5,3.5,65,1.2,"DELTA",2026-02-06 07:13:43.95884
108,"Punto grid",41.4006,1.5258,0,1.5,3.5,65,1.2,"BAJO LLOBREGAT",2026-02-06 07:13:44.128499
109,"Punto grid",41.4406,1.5258,0,0.9,3.1,60,1.6,"BAJO LLOBREGAT",2026-02-06 07:13:44.296879
110,"Punto grid",41.4806,1.5258,0,0.9,3.3,60,1.8,"BAJO LLOBREGAT",2026-02-06 07:13:44.472248
111,"Punto grid",41.5206,1.5258,0,0.9,3.3,60,1.8,"BAJO LLOBREGAT",2026-02-06 07:13:44.640248
112,"Punto grid",41.5606,1.5258,0,0.6,2.8,60,1.8,"BAJO LLOBREGAT",2026-02-06 07:13:44.808025
113,"Punto grid",41.6006,1.5258,0,0.8,3,63,2,"BAJO LLOBREGAT",2026-02-06 07:13:44.976045
114,"Punto grid",41.6406,1.5258,0,0.8,3,63,2,"BAJO LLOBREGAT",2026-02-06 07:13:45.178441
115,"Punto grid",41.6806,1.5258,0,1,3.2,63,2.2,"BAJO LLOBREGAT",2026-02-06 07:13:45.346314
116,"Punto grid",41.7206,1.5258,0,1.2,3.4,50,2,"MEDIO LLOBREGAT",2026-02-06 07:13:45.514372
117,"Punto grid",41.7606,1.5258,0,1.2,3.4,50,2,"MEDIO LLOBREGAT",2026-02-06 07:13:45.683157
118,"Punto grid",41.8006,1.5258,0,1,2.4,50,1.2,"MEDIO LLOBREGAT",2026-02-06 07:13:45.851479
119,"Punto grid",41.8406,1.5258,0,1.6,2.4,45,0.9,"MEDIO LLOBREGAT",2026-02-06 07:13:46.019799
120,"Punto grid",41.8806,1.5258,0,1.6,2.4,45,0.9,"MEDIO LLOBREGAT",2026-02-06 07:13:46.187674
121,"Punto grid",41.9206,1.5258,0,2.3,2.7,45,1.5,"MEDIO LLOBREGAT",2026-02-06 07:13:46.355767
122,"Punto grid",41.9606,1.5258,0,2.3,2.7,45,1.5,"MEDIO LLOBREGAT",2026-02-06 07:13:46.524133
123,"Punto grid",42.0006,1.5258,0,4,4.7,45,2.6,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:46.692019
124,"Punto grid",42.0406,1.5258,0,5.1,6.5,45,3,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:46.86018
125,"Punto grid",42.0806,1.5258,0,5.1,6.5,45,3,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:47.028545
126,"Punto grid",42.1206,1.5258,0.3,7.4,14.7,45,7.1,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:47.198905
127,"Punto grid",42.1606,1.5258,1.1,7.2,14.5,53,5.7,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:47.367136
128,"Punto grid",42.2006,1.5258,0.7,4.3,12.3,53,3.7,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:47.536416
129,"Punto grid",42.2406,1.5258,1.1,2.6,13.9,53,7.2,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:47.705233
130,"Punto grid",42.2806,1.5258,0.2,1.7,11.5,53,6.8,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:47.873621
131,"Punto grid",41.2806,1.5658,0,0,1.8,65,1,"DELTA",2026-02-06 07:13:48.043828
132,"Punto grid",41.3206,1.5658,0,0.4,2.2,68,1.2,"DELTA",2026-02-06 07:13:48.213292
133,"Punto grid",41.3606,1.5658,0,0.5,2.1,68,1.2,"DELTA",2026-02-06 07:13:48.382501
134,"Punto grid",41.4006,1.5658,0,0.5,2.1,68,1.2,"BAJO LLOBREGAT",2026-02-06 07:13:48.551103
135,"Punto grid",41.4406,1.5658,0,0.9,2.7,60,1.4,"BAJO LLOBREGAT",2026-02-06 07:13:48.719217
136,"Punto grid",41.4806,1.5658,0,0.7,2.7,60,1.6,"BAJO LLOBREGAT",2026-02-06 07:13:48.887793
137,"Punto grid",41.5206,1.5658,0,0.7,2.7,60,1.6,"BAJO LLOBREGAT",2026-02-06 07:13:49.055774
138,"Punto grid",41.5606,1.5658,0,0.3,2.1,60,1.6,"BAJO LLOBREGAT",2026-02-06 07:13:49.224283
139,"Punto grid",41.6006,1.5658,0,0.8,2.2,53,1.4,"BAJO LLOBREGAT",2026-02-06 07:13:49.392402
140,"Punto grid",41.6406,1.5658,0,0.8,2.2,53,1.4,"BAJO LLOBREGAT",2026-02-06 07:13:49.561226
141,"Punto grid",41.6806,1.5658,0,0.6,2.4,53,1.6,"BAJO LLOBREGAT",2026-02-06 07:13:49.729147
142,"Punto grid",41.7206,1.5658,0,0.9,2.5,48,1.6,"MEDIO LLOBREGAT",2026-02-06 07:13:49.899783
143,"Punto grid",41.7606,1.5658,0,0.9,2.5,48,1.6,"MEDIO LLOBREGAT",2026-02-06 07:13:50.068528
144,"Punto grid",41.8006,1.5658,0,1.3,2.5,48,1,"MEDIO LLOBREGAT",2026-02-06 07:13:50.236469
145,"Punto grid",41.8406,1.5658,0,1.3,2.5,48,1,"MEDIO LLOBREGAT",2026-02-06 07:13:50.404933
146,"Punto grid",41.8806,1.5658,0,1.6,2.4,48,1.2,"MEDIO LLOBREGAT",2026-02-06 07:13:50.573884
147,"Punto grid",41.9206,1.5658,0,2,2.3,48,1.4,"MEDIO LLOBREGAT",2026-02-06 07:13:50.741837
148,"Punto grid",41.9606,1.5658,0,2,2.3,45,1.4,"MEDIO LLOBREGAT",2026-02-06 07:13:50.909952
149,"Punto grid",42.0006,1.5658,0,2.4,2.9,45,1.6,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:51.078178
150,"Punto grid",42.0406,1.5658,0,2.4,2.9,45,1.6,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:51.246998
151,"Punto grid",42.0806,1.5658,0,3.9,5.1,45,2.5,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:51.415767
152,"Punto grid",42.1206,1.5658,0.5,5.9,12.3,45,5.4,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:51.584042
153,"Punto grid",42.1606,1.5658,0.8,4.9,9.9,48,3.8,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:51.754701
154,"Punto grid",42.2006,1.5658,0.5,1.7,10,48,4.8,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:51.923319
155,"Punto grid",42.2406,1.5658,1.4,3.1,13.3,48,6.4,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:52.092364
156,"Punto grid",42.2806,1.5658,0.2,1.7,11,48,6,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:52.261886
157,"Punto grid",41.2806,1.6058,0,0.2,1.8,65,1.2,"DELTA",2026-02-06 07:13:52.430276
158,"Punto grid",41.3206,1.6058,0,0.3,1.9,68,1.2,"DELTA",2026-02-06 07:13:52.601021
159,"Punto grid",41.3606,1.6058,0,0.4,1.8,68,1.2,"DELTA",2026-02-06 07:13:52.769076
160,"Punto grid",41.4006,1.6058,0,0.4,1.8,68,1.2,"BAJO LLOBREGAT",2026-02-06 07:13:52.937494
161,"Punto grid",41.4406,1.6058,0,0.4,1.8,60,1.2,"BAJO LLOBREGAT",2026-02-06 07:13:53.105883
162,"Punto grid",41.4806,1.6058,0,0.4,2,60,1.4,"BAJO LLOBREGAT",2026-02-06 07:13:53.274877
163,"Punto grid",41.5206,1.6058,0,0.4,2,60,1.4,"BAJO LLOBREGAT",2026-02-06 07:13:53.443399
164,"Punto grid",41.5606,1.6058,0,0.6,2.2,60,1.4,"BAJO LLOBREGAT",2026-02-06 07:13:53.612357
165,"Punto grid",41.6006,1.6058,0,0.6,1.8,53,1.2,"BAJO LLOBREGAT",2026-02-06 07:13:53.780735
166,"Punto grid",41.6406,1.6058,0,0.6,1.8,53,1.2,"BAJO LLOBREGAT",2026-02-06 07:13:53.949287
167,"Punto grid",41.6806,1.6058,0,1,2.4,53,1.4,"BAJO LLOBREGAT",2026-02-06 07:13:54.120167
168,"Punto grid",41.7206,1.6058,0,1,2.4,48,1.4,"MEDIO LLOBREGAT",2026-02-06 07:13:54.288378
169,"Punto grid",41.7606,1.6058,0,1,2.4,48,1.4,"MEDIO LLOBREGAT",2026-02-06 07:13:54.456895
170,"Punto grid",41.8006,1.6058,0,1.2,2,48,0.8,"MEDIO LLOBREGAT",2026-02-06 07:13:54.624855
171,"Punto grid",41.8406,1.6058,0,1.2,2,48,0.8,"MEDIO LLOBREGAT",2026-02-06 07:13:54.793253
172,"Punto grid",41.8806,1.6058,0,1.2,1.8,48,1,"MEDIO LLOBREGAT",2026-02-06 07:13:54.962633
173,"Punto grid",41.9206,1.6058,0,1.3,1.5,48,1.1,"MEDIO LLOBREGAT",2026-02-06 07:13:55.130732
174,"Punto grid",41.9606,1.6058,0,1.3,1.5,45,1.1,"MEDIO LLOBREGAT",2026-02-06 07:13:55.30184
175,"Punto grid",42.0006,1.6058,0,1.4,1.6,45,1,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:55.470336
176,"Punto grid",42.0406,1.6058,0,3.4,4.4,45,2.6,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:55.638742
177,"Punto grid",42.0806,1.6058,0,3.6,5.7,45,2.5,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:55.806778
178,"Punto grid",42.1206,1.6058,0.1,2.9,7.7,45,3.4,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:55.97522
179,"Punto grid",42.1606,1.6058,0.3,3.6,8.7,45,3.9,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:56.146084
180,"Punto grid",42.2006,1.6058,0.3,2.1,9.2,48,5.2,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:56.314635
181,"Punto grid",42.2406,1.6058,1.1,2.4,11.2,48,5.5,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 07:13:56.483517
