"ID","Localidad","Lat","Lon","Precip_1h","Precip_24h","Precip_48h","Prob_Max","Pico_Valor","Zona_Llobregat","Timestamp_Captura"
1,"Punto grid",41.2806,1.3658,0,2.2,3.4,98,1.8,"DELTA",2026-02-07 21:37:45.420139
2,"Punto grid",41.3206,1.3658,0,2,2.8,100,1.6,"DELTA",2026-02-07 21:37:45.584382
3,"Punto grid",41.3606,1.3658,0,2,2.6,100,1.4,"DELTA",2026-02-07 21:37:45.730398
4,"Punto grid",41.4006,1.3658,0,2,2.6,100,1.4,"BAJO LLOBREGAT",2026-02-07 21:37:45.876689
5,"Punto grid",41.4406,1.3658,0,2.8,3.8,100,1.6,"BAJO LLOBREGAT",2026-02-07 21:37:46.022664
6,"Punto grid",41.4806,1.3658,0,3.8,5.8,100,2.2,"BAJO LLOBREGAT",2026-02-07 21:37:46.169028
7,"Punto grid",41.5206,1.3658,0,3.8,5.8,100,2.2,"BAJO LLOBREGAT",2026-02-07 21:37:46.315406
8,"Punto grid",41.5606,1.3658,0,3.6,5.8,100,2.4,"BAJO LLOBREGAT",2026-02-07 21:37:46.461558
9,"Punto grid",41.6006,1.3658,0,3.2,6,100,2.6,"BAJO LLOBREGAT",2026-02-07 21:37:46.607949
10,"Punto grid",41.6406,1.3658,0,3.2,6,100,2.6,"BAJO LLOBREGAT",2026-02-07 21:37:46.755161
11,"Punto grid",41.6806,1.3658,0,2.8,6.4,100,2.4,"BAJO LLOBREGAT",2026-02-07 21:37:46.901196
12,"Punto grid",41.7206,1.3658,0,2.6,7,98,2.4,"MEDIO LLOBREGAT",2026-02-07 21:37:47.047779
13,"Punto grid",41.7606,1.3658,0,2.6,7,98,2.4,"MEDIO LLOBREGAT",2026-02-07 21:37:47.195384
14,"Punto grid",41.8006,1.3658,0,1.8,6.4,98,2,"MEDIO LLOBREGAT",2026-02-07 21:37:47.340064
15,"Punto grid",41.8406,1.3658,0,1.8,6.4,100,2,"MEDIO LLOBREGAT",2026-02-07 21:37:47.484979
16,"Punto grid",41.8806,1.3658,0.5,1.7,6.7,100,2.2,"MEDIO LLOBREGAT",2026-02-07 21:37:47.63027
17,"Punto grid",41.9206,1.3658,1.4,2.2,7.4,100,2.4,"MEDIO LLOBREGAT",2026-02-07 21:37:47.775653
18,"Punto grid",41.9606,1.3658,1.4,2.2,7.4,98,2.4,"MEDIO LLOBREGAT",2026-02-07 21:37:47.920965
19,"Punto grid",42.0006,1.3658,3,3.6,8.4,98,3,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-07 21:37:48.066323
20,"Punto grid",42.0406,1.3658,4.2,5,9.6,98,4.2,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-07 21:37:48.211254
21,"Punto grid",42.0806,1.3658,4.7,6,11.4,100,4.7,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-07 21:37:48.356695
22,"Punto grid",42.1206,1.3658,0.1,3.3,11.6,100,3.2,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-07 21:37:48.50168
23,"Punto grid",42.1606,1.3658,0,3.1,10.4,100,3.1,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-07 21:37:48.647219
24,"Punto grid",42.2006,1.3658,0,1.5,8.1,100,2.1,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-07 21:37:48.792293
25,"Punto grid",42.2406,1.3658,0,0.4,7.7,100,2.2,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-07 21:37:48.938165
26,"Punto grid",42.2806,1.3658,0,0,6.5,100,1.8,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-07 21:37:49.08314
27,"Punto grid",41.2806,1.4058,0,2.2,3.4,98,1.8,"DELTA",2026-02-07 21:37:49.228242
28,"Punto grid",41.3206,1.4058,0,2,2.8,100,1.6,"DELTA",2026-02-07 21:37:49.372933
29,"Punto grid",41.3606,1.4058,0,2,2.6,100,1.4,"DELTA",2026-02-07 21:37:49.520051
30,"Punto grid",41.4006,1.4058,0,2.8,3.6,100,1.4,"BAJO LLOBREGAT",2026-02-07 21:37:49.665034
31,"Punto grid",41.4406,1.4058,0,2.8,3.8,100,1.6,"BAJO LLOBREGAT",2026-02-07 21:37:49.809682
32,"Punto grid",41.4806,1.4058,0,3.8,5.8,100,2.2,"BAJO LLOBREGAT",2026-02-07 21:37:49.954958
33,"Punto grid",41.5206,1.4058,0,3.8,5.8,100,2.2,"BAJO LLOBREGAT",2026-02-07 21:37:50.09974
34,"Punto grid",41.5606,1.4058,0,3.6,5.8,100,2.4,"BAJO LLOBREGAT",2026-02-07 21:37:50.24435
35,"Punto grid",41.6006,1.4058,0,3.2,6,100,2.6,"BAJO LLOBREGAT",2026-02-07 21:37:50.389188
36,"Punto grid",41.6406,1.4058,0,3.2,6,100,2.6,"BAJO LLOBREGAT",2026-02-07 21:37:50.533752
37,"Punto grid",41.6806,1.4058,0,2.8,6.4,100,2.4,"BAJO LLOBREGAT",2026-02-07 21:37:50.67916
38,"Punto grid",41.7206,1.4058,0,2.6,7,98,2.4,"MEDIO LLOBREGAT",2026-02-07 21:37:50.824197
39,"Punto grid",41.7606,1.4058,0,2.6,7,98,2.4,"MEDIO LLOBREGAT",2026-02-07 21:37:50.969753
40,"Punto grid",41.8006,1.4058,0,1.8,6.4,98,2,"MEDIO LLOBREGAT",2026-02-07 21:37:51.115686
41,"Punto grid",41.8406,1.4058,0,1.8,6.4,100,2,"MEDIO LLOBREGAT",2026-02-07 21:37:51.260376
42,"Punto grid",41.8806,1.4058,0.5,1.7,6.7,100,2.2,"MEDIO LLOBREGAT",2026-02-07 21:37:51.405372
43,"Punto grid",41.9206,1.4058,1.4,2.2,7.4,100,2.4,"MEDIO LLOBREGAT",2026-02-07 21:37:51.550028
