"ID","Localidad","Lat","Lon","Precip_1h","Precip_24h","Precip_48h","Prob_Max","Pico_Valor","Zona_Llobregat","Timestamp_Captura"
1,"Punto grid",41.2806,1.3658,0,1.6,7,93,2,"DELTA",2026-02-04 09:13:27.645135
2,"Punto grid",41.3206,1.3658,0,2.2,8.2,100,2,"DELTA",2026-02-04 09:13:27.818027
3,"Punto grid",41.3606,1.3658,0,2.5,10.1,100,2.4,"DELTA",2026-02-04 09:13:27.973777
4,"Punto grid",41.4006,1.3658,0,2.5,10.1,100,2.4,"BAJO LLOBREGAT",2026-02-04 09:13:28.129598
5,"Punto grid",41.4406,1.3658,0,2.6,12.7,100,3,"BAJO LLOBREGAT",2026-02-04 09:13:28.285729
6,"Punto grid",41.4806,1.3658,0,1.8,12.9,100,4.4,"BAJO LLOBREGAT",2026-02-04 09:13:28.441948
7,"Punto grid",41.5206,1.3658,0,1.8,12.9,100,4.4,"BAJO LLOBREGAT",2026-02-04 09:13:28.597411
8,"Punto grid",41.5606,1.3658,0,1.3,16.1,100,4.6,"BAJO LLOBREGAT",2026-02-04 09:13:28.753111
9,"Punto grid",41.6006,1.3658,0,1.1,18.9,98,5,"BAJO LLOBREGAT",2026-02-04 09:13:28.908699
10,"Punto grid",41.6406,1.3658,0,1.1,18.9,98,5,"BAJO LLOBREGAT",2026-02-04 09:13:29.064153
11,"Punto grid",41.6806,1.3658,0,0.4,20,98,5.6,"BAJO LLOBREGAT",2026-02-04 09:13:29.219781
12,"Punto grid",41.7206,1.3658,0,0.8,22,98,5.9,"MEDIO LLOBREGAT",2026-02-04 09:13:29.375628
13,"Punto grid",41.7606,1.3658,0,0.8,22,98,5.9,"MEDIO LLOBREGAT",2026-02-04 09:13:29.53353
14,"Punto grid",41.8006,1.3658,0,1.4,20.7,98,5.7,"MEDIO LLOBREGAT",2026-02-04 09:13:29.688359
15,"Punto grid",41.8406,1.3658,0,1.4,20.7,100,5.7,"MEDIO LLOBREGAT",2026-02-04 09:13:29.842588
16,"Punto grid",41.8806,1.3658,0,1.6,20.6,100,6.2,"MEDIO LLOBREGAT",2026-02-04 09:13:29.997596
17,"Punto grid",41.9206,1.3658,0,1.6,21.4,100,7.8,"MEDIO LLOBREGAT",2026-02-04 09:13:30.151618
18,"Punto grid",41.9606,1.3658,0,1.6,21.4,100,7.8,"MEDIO LLOBREGAT",2026-02-04 09:13:30.306044
19,"Punto grid",42.0006,1.3658,0,1.6,21.3,100,8,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 09:13:30.460528
20,"Punto grid",42.0406,1.3658,0,1.1,19.9,100,7.2,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 09:13:30.614963
21,"Punto grid",42.0806,1.3658,0,1.1,21.5,100,6.9,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 09:13:30.769398
22,"Punto grid",42.1206,1.3658,0,0,16.4,100,5.4,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 09:13:30.924014
23,"Punto grid",42.1606,1.3658,0,0,16.4,100,4.2,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 09:13:31.078437
24,"Punto grid",42.2006,1.3658,0,0,21.9,100,5,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 09:13:31.232538
25,"Punto grid",42.2406,1.3658,0,0,23.9,100,6,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 09:13:31.38722
26,"Punto grid",42.2806,1.3658,0,0,17.1,100,3.7,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 09:13:31.541842
27,"Punto grid",41.2806,1.4058,0,1.6,7,93,2,"DELTA",2026-02-04 09:13:31.696186
28,"Punto grid",41.3206,1.4058,0,2.2,8.2,100,2,"DELTA",2026-02-04 09:13:31.8505
29,"Punto grid",41.3606,1.4058,0,2.5,10.1,100,2.4,"DELTA",2026-02-04 09:13:32.007021
30,"Punto grid",41.4006,1.4058,0,3.3,12.9,100,3.2,"BAJO LLOBREGAT",2026-02-04 09:13:32.161047
31,"Punto grid",41.4406,1.4058,0,2.6,12.7,100,3,"BAJO LLOBREGAT",2026-02-04 09:13:32.315024
32,"Punto grid",41.4806,1.4058,0,1.8,12.9,100,4.4,"BAJO LLOBREGAT",2026-02-04 09:13:32.469247
33,"Punto grid",41.5206,1.4058,0,1.8,12.9,100,4.4,"BAJO LLOBREGAT",2026-02-04 09:13:32.623194
34,"Punto grid",41.5606,1.4058,0,1.3,16.1,100,4.6,"BAJO LLOBREGAT",2026-02-04 09:13:32.777664
35,"Punto grid",41.6006,1.4058,0,1.1,18.9,98,5,"BAJO LLOBREGAT",2026-02-04 09:13:32.931788
36,"Punto grid",41.6406,1.4058,0,1.1,18.9,98,5,"BAJO LLOBREGAT",2026-02-04 09:13:33.085882
37,"Punto grid",41.6806,1.4058,0,0.4,20,98,5.6,"BAJO LLOBREGAT",2026-02-04 09:13:33.240016
38,"Punto grid",41.7206,1.4058,0,0.8,22,98,5.9,"MEDIO LLOBREGAT",2026-02-04 09:13:33.394919
39,"Punto grid",41.7606,1.4058,0,0.8,22,98,5.9,"MEDIO LLOBREGAT",2026-02-04 09:13:33.549043
40,"Punto grid",41.8006,1.4058,0,1.4,20.7,98,5.7,"MEDIO LLOBREGAT",2026-02-04 09:13:33.704362
41,"Punto grid",41.8406,1.4058,0,1.4,20.7,100,5.7,"MEDIO LLOBREGAT",2026-02-04 09:13:33.858493
42,"Punto grid",41.8806,1.4058,0,1.6,20.6,100,6.2,"MEDIO LLOBREGAT",2026-02-04 09:13:34.014454
43,"Punto grid",41.9206,1.4058,0,1.6,21.4,100,7.8,"MEDIO LLOBREGAT",2026-02-04 09:13:34.168821
44,"Punto grid",41.9606,1.4058,0,1.6,21.4,100,7.8,"MEDIO LLOBREGAT",2026-02-04 09:13:34.323202
45,"Punto grid",42.0006,1.4058,0,1.6,21.3,100,8,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 09:13:34.479269
46,"Punto grid",42.0406,1.4058,0,1.1,19.9,100,7.2,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 09:13:34.63366
47,"Punto grid",42.0806,1.4058,0,1.1,19.9,100,7.2,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 09:13:34.787917
48,"Punto grid",42.1206,1.4058,0,0,13.9,100,4.5,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 09:13:34.942406
49,"Punto grid",42.1606,1.4058,0,0,16.6,100,4.3,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 09:13:35.097008
50,"Punto grid",42.2006,1.4058,0,0,21.9,100,4.9,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-04 09:13:35.251809
