"ID","Localidad","Lat","Lon","Precip_1h","Precip_24h","Precip_48h","Prob_Max","Pico_Valor","Zona_Llobregat","Timestamp_Captura"
1,"Punto grid",41.2806,1.3658,0,3.4,6.6,90,2.2,"DELTA",2026-02-06 23:37:28.500173
2,"Punto grid",41.3206,1.3658,0,3,5.8,88,2,"DELTA",2026-02-06 23:37:28.679564
3,"Punto grid",41.3606,1.3658,0,2.6,5.6,88,1.8,"DELTA",2026-02-06 23:37:28.842795
4,"Punto grid",41.4006,1.3658,0,2.6,5.6,88,1.8,"BAJO LLOBREGAT",2026-02-06 23:37:29.00564
5,"Punto grid",41.4406,1.3658,0,2.7,6.1,90,2,"BAJO LLOBREGAT",2026-02-06 23:37:29.168381
6,"Punto grid",41.4806,1.3658,0,3.2,8.6,90,2.6,"BAJO LLOBREGAT",2026-02-06 23:37:29.330697
7,"Punto grid",41.5206,1.3658,0,3.2,8.6,90,2.6,"BAJO LLOBREGAT",2026-02-06 23:37:29.493083
8,"Punto grid",41.5606,1.3658,0,3.4,9.2,90,2.8,"BAJO LLOBREGAT",2026-02-06 23:37:29.654958
9,"Punto grid",41.6006,1.3658,0,3.6,10,93,3,"BAJO LLOBREGAT",2026-02-06 23:37:29.817285
10,"Punto grid",41.6406,1.3658,0,3.6,10,93,3,"BAJO LLOBREGAT",2026-02-06 23:37:29.978115
11,"Punto grid",41.6806,1.3658,0,4,11.3,93,3.6,"BAJO LLOBREGAT",2026-02-06 23:37:30.150874
12,"Punto grid",41.7206,1.3658,0,4.6,13.1,93,4.2,"MEDIO LLOBREGAT",2026-02-06 23:37:30.313798
13,"Punto grid",41.7606,1.3658,0,4.6,13.1,93,4.2,"MEDIO LLOBREGAT",2026-02-06 23:37:30.478393
14,"Punto grid",41.8006,1.3658,0,4.2,13.2,93,4,"MEDIO LLOBREGAT",2026-02-06 23:37:30.636796
15,"Punto grid",41.8406,1.3658,0,4.2,13.2,88,4,"MEDIO LLOBREGAT",2026-02-06 23:37:30.797906
16,"Punto grid",41.8806,1.3658,0.2,3.4,13.1,88,4,"MEDIO LLOBREGAT",2026-02-06 23:37:30.958907
17,"Punto grid",41.9206,1.3658,0.6,3,14.6,88,4.2,"MEDIO LLOBREGAT",2026-02-06 23:37:31.11547
18,"Punto grid",41.9606,1.3658,0.6,3,14.6,88,4.2,"MEDIO LLOBREGAT",2026-02-06 23:37:31.275047
19,"Punto grid",42.0006,1.3658,2.2,4.2,15.2,88,3.8,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 23:37:31.436544
20,"Punto grid",42.0406,1.3658,4.6,6.2,16,88,4.6,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 23:37:31.596894
21,"Punto grid",42.0806,1.3658,6.3,8.1,16.9,90,6.3,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 23:37:31.758447
22,"Punto grid",42.1206,1.3658,2.1,3.1,13.2,90,3,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 23:37:31.919389
23,"Punto grid",42.1606,1.3658,0.3,0.7,10.3,90,2.4,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 23:37:32.080333
24,"Punto grid",42.2006,1.3658,0,0.1,8.9,88,2.3,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 23:37:32.241065
25,"Punto grid",42.2406,1.3658,0,0,9,88,2.4,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 23:37:32.399836
26,"Punto grid",42.2806,1.3658,0,0,8.1,88,2.1,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 23:37:32.558561
27,"Punto grid",41.2806,1.4058,0,3.4,6.6,90,2.2,"DELTA",2026-02-06 23:37:32.715031
28,"Punto grid",41.3206,1.4058,0,3,5.8,88,2,"DELTA",2026-02-06 23:37:32.871309
29,"Punto grid",41.3606,1.4058,0,2.6,5.6,88,1.8,"DELTA",2026-02-06 23:37:33.029396
30,"Punto grid",41.4006,1.4058,0,2.7,6.3,88,2,"BAJO LLOBREGAT",2026-02-06 23:37:33.18585
31,"Punto grid",41.4406,1.4058,0,2.7,6.1,90,2,"BAJO LLOBREGAT",2026-02-06 23:37:33.341779
32,"Punto grid",41.4806,1.4058,0,3.2,8.6,90,2.6,"BAJO LLOBREGAT",2026-02-06 23:37:33.498015
33,"Punto grid",41.5206,1.4058,0,3.2,8.6,90,2.6,"BAJO LLOBREGAT",2026-02-06 23:37:33.654338
34,"Punto grid",41.5606,1.4058,0,3.4,9.2,90,2.8,"BAJO LLOBREGAT",2026-02-06 23:37:33.8109
35,"Punto grid",41.6006,1.4058,0,3.6,10,93,3,"BAJO LLOBREGAT",2026-02-06 23:37:33.968998
36,"Punto grid",41.6406,1.4058,0,3.6,10,93,3,"BAJO LLOBREGAT",2026-02-06 23:37:34.125432
37,"Punto grid",41.6806,1.4058,0,4,11.3,93,3.6,"BAJO LLOBREGAT",2026-02-06 23:37:34.281941
38,"Punto grid",41.7206,1.4058,0,4.6,13.1,93,4.2,"MEDIO LLOBREGAT",2026-02-06 23:37:34.438314
39,"Punto grid",41.7606,1.4058,0,4.6,13.1,93,4.2,"MEDIO LLOBREGAT",2026-02-06 23:37:34.595236
40,"Punto grid",41.8006,1.4058,0,4.2,13.2,93,4,"MEDIO LLOBREGAT",2026-02-06 23:37:34.752839
41,"Punto grid",41.8406,1.4058,0,4.2,13.2,88,4,"MEDIO LLOBREGAT",2026-02-06 23:37:34.909222
42,"Punto grid",41.8806,1.4058,0.2,3.4,13.1,88,4,"MEDIO LLOBREGAT",2026-02-06 23:37:35.065399
43,"Punto grid",41.9206,1.4058,0.6,3,14.6,88,4.2,"MEDIO LLOBREGAT",2026-02-06 23:37:35.221862
44,"Punto grid",41.9606,1.4058,0.6,3,14.6,88,4.2,"MEDIO LLOBREGAT",2026-02-06 23:37:35.378423
45,"Punto grid",42.0006,1.4058,2.2,4.2,15.2,88,3.8,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-06 23:37:35.537786
